question,answer
"What academic title is awarded upon successful completion of the Master’s programs Data and Knowledge Engineering, Digital Engineering, and Visual Computing?","Upon successfully completing any of the Master’s programs in Data and Knowledge Engineering, Digital Engineering, or Visual Computing, graduates are conferred the academic degree Master of Science (M.Sc.), reflecting their advanced training in both theoretical foundations and practical applications of their discipline."
"What acdemic title is awrded?!","Upon fulfilling all curricular and examination requirements of the Master’s program—whether in Data and Knowledge Engineering, Digital Engineering, or Visual Computing—students are awarded the Master of Science (M.Sc.) degree, signifying their mastery of specialized technical and research skills."
"What former name was changed to Visual Computing?","The Master’s program currently titled Visual Computing was formerly known as Computer Visualistics; the name change was made to better reflect the broader scope of graphics, visualization, and interaction techniques taught in the curriculum."
"Which progrm was renamd to Visual Computing$?","The Master’s program originally called Computer Visualistics was renamed to Visual Computing to encompass advancements in computer graphics, visualization algorithms, and human–computer interaction."
"Which Master’s programs are covered by this study and examination regulation?","This regulation applies to three specialized Master’s programs: Data and Knowledge Engineering (MDKE), Digital Engineering (DigiEng), and Visual Computing (VisComp), each designed to equip students with cutting-edge expertise in data processing, digital system design, and graphical computing."
"Which Master’s programs are covered by this regulation??","The regulation governs the structure, admission, and examination rules for the Master’s programs in Data and Knowledge Engineering, Digital Engineering, and Visual Computing, ensuring consistency across these research-oriented degrees."
"What type of study profile do these Master’s programs have?","All three programs are classified as research-oriented, emphasizing academic rigor and the development of scientific methodologies, with a strong focus on preparing students for doctoral studies or research positions in industry."
"What profil type do thse programs have#?","Each of the Master’s programs follows a research-oriented profile, combining advanced lectures, seminars, and independent research projects to develop scholarly competence and innovation."
"Is it possible to pursue the program part-time?","Yes; students may opt for an individualized part-time track under the university’s framework regulations, allowing them to spread credit requirements over a longer period while balancing professional or personal commitments."
"Can students do an individual part-time study@?","Indeed, the regulations permit an individualized part-time study plan, which must be arranged in consultation with the examination office and adheres to the overarching framework for part-time study at the university."
"What is the minimum number of credit points required for admission to the Master’s programs?","Applicants must hold a Bachelor’s degree with the equivalent of at least 180 credit points (ECTS) to meet the fundamental academic prerequisites for admission to any of these Master’s programs."
"Minimum CP required fr admission?","A minimum of 180 ECTS credit points from a recognized Bachelor’s degree program is required to qualify for admission to the Master’s programs in Data and Knowledge Engineering, Digital Engineering, or Visual Computing."
"What is the minimum standard period of study for the Bachelor’s degree required for admission?","The Bachelor's degree must have a standard study period of at least six semesters to ensure sufficient foundational training before enrolling in the advanced Master’s courses."
"Min std period of study??","Prospective students must have completed a Bachelor’s program with a standard duration of no fewer than six semesters, guaranteeing adequate depth in prerequisite subjects."
"Can a university diploma be accepted for admission?","Yes; a traditional university diploma or any comparable degree from a state- or state-recognized institution is accepted, provided it meets the credit and content requirements outlined in the regulations."
"Is a university diplom acceptable for admission?","Applicants holding a university diploma or equivalent qualification from a recognized institution may apply, as long as their program’s scope and content align with the prescribed entry requirements."
"For Data & Knowledge Engineering, what is the minimum requirement regarding database modules?","Candidates must have completed at least one comprehensive module on databases, covering fundamental concepts such as data modeling, query languages, and database design principles."
"For MDKE, min one module on databasses?","Admission to MDKE requires at least one database-related module in the Bachelor’s curriculum, ensuring familiarity with relational or non-relational database systems and their applications."
"For MDKE, how many additional ECTS in Computer Science are needed if no applied statistics are included?","If an applicant’s prior coursework lacks applied statistics, they must compensate by completing 60 ECTS credits in Computer Science to ensure adequate quantitative and computational grounding."
"In MDKE: 40 CS + 20 stats or 60 CS??","Applicants may satisfy the requirements by either completing 60 ECTS credits in Computer Science or a combination of 40 ECTS in Computer Science plus 20 ECTS in applied statistics, demonstrating balanced competence in both areas."
"What are the two options for fulfilling the additional requirements in MDKE?","The regulation offers two pathways: (1) 60 ECTS credits in Computer Science alone, or (2) 40 ECTS credits in Computer Science supplemented by 20 ECTS credits in applied statistics, to tailor students’ preparation to their background."
"What are options for MDKE addtl req$?","Prospective MDKE students can choose between achieving a full 60-ECTS credit load in Computer Science or dividing the requirement into 40 credits in Computer Science and 20 credits in applied statistics, depending on prior study focus."
"For Digital Engineering, how many ECTS in Informatics must be demonstrated?","Applicants to the Digital Engineering program must have achieved at least 20 ECTS credits in Informatics, covering subjects such as algorithms, data structures, and software engineering."
"For DigiEng: min 20 ETCS in Informatics?","A minimum of 20 ECTS credits in core Informatics modules is required for admission to Digital Engineering, ensuring foundational knowledge in computational methods."
"How can work experience compensate missing Informatics credits for Digital Engineering?","Relevant professional work experience can offset up to 10 ECTS of missing Informatics credits: one year of documented employment in an IT or engineering role counts as 10 ECTS."
"Can 1 yr experience replace 10 ECTS?!","Yes; the regulations allow one year of pertinent professional experience—such as software development or systems engineering—to substitute for 10 ECTS credits in Informatics."
"What background is required for Visual Computing admission?","Candidates must hold a degree in Informatics or a closely related field (e.g., computer graphics, computational geometry), ensuring they possess essential programming and mathematical skills."
"What bkgrnd req for VisComp?","Admission to Visual Computing requires a Bachelor’s in Informatics or a related discipline, guaranteeing that students have prior exposure to programming, mathematics, and visualization concepts."
"Who decides on admission from a related field?","The Examination Board reviews each case where an applicant’s prior degree is from a related field and makes the final decision on whether the background fulfills the program’s requirements."
"Who decides on admission$?","In instances of non-standard academic backgrounds, the Examination Board evaluates the applicant’s qualifications and determines if they meet the criteria for admission."
"What overall grade is required for special suitability in Digital Engineering and Visual Computing?","For special suitability in DigiEng and VisComp, applicants must have achieved an overall Bachelor’s grade of at least 2.50 on the German grading scale, demonstrating strong academic performance."
"What grade req for DigiEng & VisComp?","An overall grade of 2.50 or better is required to demonstrate special suitability for both the Digital Engineering and Visual Computing Master’s programs."
"What overall grade is required for special suitability in MDKE?","Applicants to MDKE must hold an overall Bachelor’s grade of at least 2.30, reflecting the higher emphasis on quantitative and analytical skills in the program."
"Grade req for MDKE?","A cumulative grade of 2.30 or higher is required for special suitability in the Master’s program in Data and Knowledge Engineering."
"If the Bachelor's degree is not yet complete, how many CP must be achieved for early admission to DigiEng and VisComp?","Students awaiting their final Bachelor’s results may be provisionally admitted if they have acquired at least 150 ECTS credits in a six-semester program or 180 ECTS in a seven-semester program."
