ID,Question,Label
Q001,"What is the scope of the Master’s program as defined in the academic regulations?",RAG Search
Q002,"How do the regulations outline the goals of the Master’s studies?",RAG Search
Q003,"What academic degree is awarded upon successful completion according to the regulations?",RAG Search
Q004,"What are the admission requirements for the Master’s program in Data & Knowledge Engineering as described in the guidelines?",RAG Search
Q005,"What prerequisites are needed for the Master’s program in Digital Engineering?",RAG Search
Q006,"What does the regulation specify about the admission criteria for Visual Computing?",RAG Search
Q007,"How is special aptitude determined according to the regulations?",RAG Search
Q008,"What do the regulations state regarding the required credit points for admission?",RAG Search
Q009,"What are the language requirements for admission as outlined in the regulations?",RAG Search
Q010,"How are study durations defined in the academic guidelines for the Master’s programs?",RAG Search
Q011,"What is the standard duration of the Master’s program as described in the regulations?",RAG Search
Q012,"How is the structure of the Master’s program organized according to the regulations?",RAG Search
Q013,"What is the significance of the standard study plans mentioned in the regulations?",RAG Search
Q014,"How are modules and credit points distributed in the Master’s program based on the regulations?",RAG Search
Q015,"What types of courses and lectures are included according to the academic guidelines?",RAG Search
Q016,"How do the regulations differentiate between compulsory and elective courses?",RAG Search
Q017,"What responsibilities does the academic advising office have as outlined in the regulations?",RAG Search
Q018,"How do individual study plans work according to the regulations?",RAG Search
Q019,"What procedures are in place for recognizing prior studies in the academic guidelines?",RAG Search
Q020,"How is the examination process structured in the regulations?",RAG Search
Q021,"What role does the examination board play in the regulations?",RAG Search
Q022,"Who can be a member of the examination board according to the regulations?",RAG Search
Q023,"What is the process for appointing examiners as described in the regulations?",RAG Search
Q024,"How many examiners are required for a written examination according to the guidelines?",RAG Search
Q025,"What do the regulations say about the public nature of oral examinations?",RAG Search
Q026,"What are the guidelines for the repetition of examinations in the regulations?",RAG Search
Q027,"How is the Master’s thesis process structured according to the regulations?",RAG Search
Q028,"What are the steps for registration and submission of the Master’s thesis as outlined in the guidelines?",RAG Search
Q029,"How do the regulations handle the grading and assessment of module examinations?",RAG Search
Q030,"What constitutes a successful completion of a module in the academic guidelines?",RAG Search
Q031,"How are exam results communicated to students as specified in the regulations?",RAG Search
Q032,"What is the process for appealing examination results according to the regulations?",RAG Search
Q033,"How do the regulations address cases of academic misconduct?",RAG Search
Q034,"What provisions are made for exam protection and compensation for disadvantages in the regulations?",RAG Search
Q035,"How do the regulations define a valid excuse for exam non‐attendance?",RAG Search
Q036,"What role do exam observers play in the examination process as described in the guidelines?",RAG Search
Q037,"How are periods of foreign study recognized according to the regulations?",RAG Search
Q038,"What documentation is required for credit transfer as outlined in the regulations?",RAG Search
Q039,"How do the regulations address language proficiency verification for admission?",RAG Search
Q040,"What criteria determine if a student is eligible for an individual study plan according to the guidelines?",RAG Search
Q041,"How are practical components and projects integrated into the Master’s program as per the regulations?",RAG Search
Q042,"What do the regulations specify about attendance requirements for courses?",RAG Search
Q043,"How is the calculation of credit points defined in the academic guidelines?",RAG Search
Q044,"What guidelines for module examination formats are provided in the regulations?",RAG Search
Q045,"How is the role of the examination office described in the academic guidelines?",RAG Search
Q046,"What steps are involved in initiating a re‐examination request according to the regulations?",RAG Search
Q047,"How do the regulations ensure fairness in the examination process?",RAG Search
Q048,"What measures do the regulations include for preventing exam malpractice?",RAG Search
Q049,"How are additional modules or elective courses handled as per the academic guidelines?",RAG Search
Q050,"What do the regulations indicate about transitions between different study phases?",RAG Search
Q051,"Can students reattempt a failed examination according to the regulations?",RAG Search
Q052,"What deadlines are specified for submitting exam applications in the academic guidelines?",RAG Search
Q053,"How are the roles of program coordinators defined in the regulations?",RAG Search
Q054,"What is the process for scheduling exams as described in the guidelines?",RAG Search
Q055,"How do the regulations address special cases such as long-term illness?",RAG Search
Q056,"What is the maximum time allowed for the completion of a Master’s thesis according to the regulations?",RAG Search
Q057,"How are thesis topics assigned according to the academic guidelines?",RAG Search
Q058,"What criteria are used to evaluate a Master’s thesis in the regulations?",RAG Search
Q059,"How is the final grade for the Master’s degree calculated as per the guidelines?",RAG Search
Q060,"What happens if a student withdraws from an exam according to the regulations?",RAG Search
Q061,"How are exam retakes regulated in the academic guidelines?",RAG Search
Q062,"What is the importance of the module handbook as described in the regulations?",RAG Search
Q063,"How do the regulations support interdisciplinary studies within the curriculum?",RAG Search
Q064,"What do the guidelines specify regarding oral versus written exam formats?",RAG Search
Q065,"How are group projects assessed according to the academic guidelines?",RAG Search
Q066,"What provisions do the regulations offer for students with disabilities during exams?",RAG Search
Q067,"How are supplementary examinations handled as per the guidelines?",RAG Search
Q068,"What information is provided about exam schedules and venues in the regulations?",RAG Search
Q069,"How do the regulations ensure transparency in the evaluation process?",RAG Search
Q070,"What is the process for re‐registration for exams if a deadline is missed, according to the guidelines?",RAG Search
Q071,"How is the role of the exam office in managing examinations described in the academic guidelines?",RAG Search
Q072,"What rights do students have regarding access to their examination records as outlined in the regulations?",RAG Search
Q073,"How is the confidentiality of exam results maintained according to the guidelines?",RAG Search
Q074,"What are the consequences for exam fraud as detailed in the academic guidelines?",RAG Search
Q075,"How are exceptions to standard exam procedures handled in the regulations?",RAG Search
Q076,"What support services are mentioned for exam preparation in the guidelines?",RAG Search
Q077,"How is the role of tutors defined during examinations in the academic guidelines?",RAG Search
Q078,"What do the regulations say about the use of electronic devices during exams?",RAG Search
Q079,"How are durations for oral examinations determined according to the guidelines?",RAG Search
Q080,"What is the function of the academic colloquium in relation to the Master’s thesis as described in the regulations?",RAG Search
Q081,"How are exam results published and communicated to students in the academic guidelines?",RAG Search
Q082,"What criteria are used to assign examiners according to the regulations?",RAG Search
Q083,"How are conflicts of interest among examiners addressed in the guidelines?",RAG Search
Q084,"What steps do the regulations outline to update exam content regularly?",RAG Search
Q085,"How do the guidelines handle situations when examiners are unavailable?",RAG Search
